,Winner Name,year,Height,Weight
0,Maurice Garin,1903,1.62,60.0
1,Henri Cornet,1904,,
2,Louis Trousselier,1905,,
3,René Pottier,1906,,
4,Lucien Petit-Breton,1907,,
5,François Faber,1909,1.78,88.0
6,Octave Lapize,1910,,
7,Gustave Garrigou,1911,,
8,Odile Defraye,1912,,
9,Philippe Thys,1913,,
10,Firmin Lambot,1919,,
11,Léon Scieur,1921,,
12,Henri Pélissier,1923,,
13,Ottavio Bottecchia,1924,,
14,Lucien Buysse,1926,,
15,Nicolas Frantz,1927,,
16,Maurice De Waele,1929,,
17,André Leducq,1930,,
18,Antonin Magne,1931,,
19,Georges Speicher,1933,,
20,Romain Maes,1935,,
21,Sylvère Maes,1936,,
22,Roger Lapébie,1937,,
23,Gino Bartali,1938,1.72,66.0
24,Jean Robic,1947,1.61,60.0
25,Fausto Coppi,1949,1.77,68.0
26,Ferdinand Kübler,1950,,
27,Hugo Koblet,1951,,
28,Louison Bobet,1953,1.79,75.0
29,Roger Walkowiak,1956,,
30,Jacques Anquetil,1957,1.76,70.0
31,Charly Gaul,1958,1.73,64.0
32,Federico Bahamontes,1959,,
33,Gastone Nencini,1960,,
34,Felice Gimondi,1965,1.81,71.0
35,Lucien Aimar,1966,,
36,Roger Pingeon,1967,1.82,72.0
37,Jan Janssen,1968,,
38,Eddy Merckx,1969,1.82,74.0
39,Luis Ocaña,1973,1.65,52.0
40,Bernard Thévenet,1975,,
41,Lucien Van Impe,1976,,58.0
42,Bernard Hinault,1978,1.74,62.0
43,Joop Zoetemelk,1980,1.73,68.0
44,Laurent Fignon,1983,1.74,67.0
45,Greg LeMond,1986,1.78,67.0
46,Stephen Roche,1987,1.75,74.0
47,Pedro Delgado,1988,1.71,64.0
48,Miguel Induráin,1991,1.86,80.0
49,Bjarne Riis,1996,1.84,71.0
50,Jan Ullrich,1997,1.83,73.0
51,Marco Pantani,1998,1.72,57.0
52,Lance Armstrong,1999,1.77,75.0
53,Óscar Pereiro,2006,1.77,68.0
54,Alberto Contador,2007,1.76,62.0
55,Carlos Sastre,2008,1.73,60.0
56,Andy Schleck,2010,1.86,68.0
57,Cadel Evans,2011,1.74,64.0
58,Bradley Wiggins,2012,1.9,69.0
59,Chris Froome,2013,1.86,69.0
60,Vincenzo Nibali,2014,1.8,65.0
61,Geraint Thomas,2018,1.83,71.0
62,Egan Bernal,2019,1.75,60.0
